2.85, 10.65, -5.85
2.85, 10.65, -5.55
2.85, 10.65, -5.25
2.85, 10.65, -4.95
2.85, 10.65, -4.65
2.85, 10.65, -4.35
2.85, 10.65, -4.05
2.85, 10.65, -3.75
2.85, 10.65, -3.45
2.85, 10.65, -3.15
2.85, 10.65, -2.85
2.85, 10.65, -2.55
2.85, 10.65, -2.25
2.85, 10.65, -1.95
2.85, 10.65, -1.65
2.85, 10.65, -1.35
2.85, 10.65, -1.05
2.85, 10.65, -0.75
2.85, 10.65, -0.45
2.85, 10.65, -0.15
2.85, 10.65, 0.15
2.85, 10.65, 0.45
2.85, 10.65, 0.75
2.85, 10.65, 1.05
2.85, 10.65, 1.35
2.85, 10.65, 1.65
2.85, 10.65, 1.95
2.85, 10.65, 2.25
2.85, 10.65, 2.55
2.85, 10.65, 2.85
2.85, 10.65, 3.15
2.85, 10.65, 3.45
2.85, 10.65, 3.75
2.85, 10.65, 4.05
2.85, 10.65, 4.35
2.85, 10.95, -5.85
2.85, 10.95, -5.55
2.85, 10.95, -5.25
2.85, 10.95, -4.95
2.85, 10.95, -4.65
2.85, 10.95, -4.35
2.85, 10.95, -4.05
2.85, 10.95, -3.75
2.85, 10.95, -3.45
2.85, 10.95, -3.15
2.85, 10.95, -2.85
2.85, 10.95, -2.55
2.85, 10.95, -2.25
2.85, 10.95, -1.95
2.85, 10.95, -1.65
2.85, 10.95, -1.35
2.85, 10.95, -1.05
2.85, 10.95, -0.75
2.85, 10.95, -0.45
2.85, 10.95, -0.15
2.85, 10.95, 0.15
2.85, 10.95, 0.45
2.85, 10.95, 0.75
2.85, 10.95, 1.05
2.85, 10.95, 1.35
2.85, 10.95, 1.65
2.85, 10.95, 1.95
2.85, 10.95, 2.25
2.85, 10.95, 2.55
2.85, 10.95, 2.85
2.85, 10.95, 3.15
2.85, 10.95, 3.45
2.85, 10.95, 3.75
2.85, 10.95, 4.05
2.85, 10.95, 4.35
2.85, 11.25, -5.85
2.85, 11.25, -5.55
2.85, 11.25, -5.25
2.85, 11.25, -4.95
2.85, 11.25, -4.65
2.85, 11.25, -4.35
2.85, 11.25, -4.05
2.85, 11.25, -3.75
2.85, 11.25, -3.45
2.85, 11.25, -3.15
2.85, 11.25, -2.85
2.85, 11.25, -2.55
2.85, 11.25, -2.25
2.85, 11.25, -1.95
2.85, 11.25, -1.65
2.85, 11.25, -1.35
2.85, 11.25, -1.05
2.85, 11.25, -0.75
2.85, 11.25, -0.45
2.85, 11.25, -0.15
2.85, 11.25, 0.15
2.85, 11.25, 0.45
2.85, 11.25, 0.75
2.85, 11.25, 1.05
2.85, 11.25, 1.35
2.85, 11.25, 1.65
2.85, 11.25, 1.95
2.85, 11.25, 2.25
2.85, 11.25, 2.55
2.85, 11.25, 2.85
2.85, 11.25, 3.15
2.85, 11.25, 3.45
2.85, 11.25, 3.75
2.85, 11.25, 4.05
2.85, 11.25, 4.35
2.85, 14.55, -3.15
2.85, 14.55, -2.85
2.85, 14.55, -2.55
2.85, 14.55, -2.25
2.85, 14.55, -1.95
2.85, 14.55, -1.65
2.85, 14.55, -1.35
2.85, 14.55, -1.05
2.85, 14.55, -0.75
2.85, 14.55, -0.45
2.85, 14.55, -0.15
2.85, 14.55, 0.15
2.85, 14.55, 0.45
2.85, 14.55, 0.75
2.85, 14.55, 1.05
2.85, 14.55, 1.35
2.85, 14.55, 1.65
2.85, 14.55, 1.95
2.85, 14.55, 2.25
2.85, 14.55, 2.55
2.85, 14.55, 2.85
2.85, 14.55, 3.15
2.85, 14.55, 3.45
